"","Mgmt","Dist","ft","group","-2","100"
"98","Shelterwood Regeneration Cut","No Disturbance","Oak-Mixed Hardwood - 'Mesic'","27.5 ~ 52.5 cm",77.1411046495411,40.35129041747
"99","Shelterwood Regeneration Cut","No Disturbance","Oak-Mixed Hardwood - 'Mesic'","< 12.5 cm",11.5484064496081,0.321980401418365
"100","Shelterwood Regeneration Cut","No Disturbance","Oak-Mixed Hardwood - 'Mesic'","> 52.5 cm",31.7605867519842,14.143240308807
"101","Shelterwood Regeneration Cut","No Disturbance","Oak-Mixed Hardwood - 'Xeric'","12.5 ~ 27.5 cm",34.3135931045564,79.6752282958829
"102","Shelterwood Regeneration Cut","No Disturbance","Oak-Mixed Hardwood - 'Xeric'","27.5 ~ 52.5 cm",72.6745294510142,115.047477263919
"103","Shelterwood Regeneration Cut","No Disturbance","Oak-Mixed Hardwood - 'Xeric'","< 12.5 cm",16.3740760642681,0.122680158139034
"104","Shelterwood Regeneration Cut","No Disturbance","Oak-Mixed Hardwood - 'Xeric'","> 52.5 cm",19.9858973069853,13.1989009095604
"105","Shelterwood Regeneration Cut","No Disturbance","Northern Hardwood - 'Mesic'","12.5 ~ 27.5 cm",32.5528715755771,148.143451037498
"106","Shelterwood Regeneration Cut","No Disturbance","Northern Hardwood - 'Mesic'","27.5 ~ 52.5 cm",76.8842264677143,22.9341571057377
"107","Shelterwood Regeneration Cut","No Disturbance","Northern Hardwood - 'Mesic'","< 12.5 cm",21.770910225479,0.172944231277969
"108","Shelterwood Regeneration Cut","No Disturbance","Northern Hardwood - 'Mesic'","> 52.5 cm",19.0967641549625,0.119960615535383
"109","Shelterwood Regeneration Cut","No Disturbance","Northern Hardwood - 'Xeric'","12.5 ~ 27.5 cm",40.3688804057717,122.677400122416
"110","Shelterwood Regeneration Cut","No Disturbance","Northern Hardwood - 'Xeric'","27.5 ~ 52.5 cm",77.8318501004084,78.904869711813
"111","Shelterwood Regeneration Cut","No Disturbance","Northern Hardwood - 'Xeric'","< 12.5 cm",21.6243959022244,0.182214450208217
"112","Shelterwood Regeneration Cut","No Disturbance","Northern Hardwood - 'Xeric'","> 52.5 cm",17.2738264667447,0.6817406472146
"113","Shelterwood Regeneration Cut","Extreme Weather","Oak-Mixed Hardwood - 'Mesic'","12.5 ~ 27.5 cm",27.3732172861385,0.535737302305247
"114","Shelterwood Regeneration Cut","Extreme Weather","Oak-Mixed Hardwood - 'Mesic'","27.5 ~ 52.5 cm",77.1411046495411,0
"115","Shelterwood Regeneration Cut","Extreme Weather","Oak-Mixed Hardwood - 'Mesic'","< 12.5 cm",11.5484064496081,17.2615832396182
"116","Shelterwood Regeneration Cut","Extreme Weather","Oak-Mixed Hardwood - 'Mesic'","> 52.5 cm",31.7605867519842,NA
"117","Shelterwood Regeneration Cut","Extreme Weather","Oak-Mixed Hardwood - 'Xeric'","12.5 ~ 27.5 cm",34.3135931045564,78.9789665747581
"118","Shelterwood Regeneration Cut","Extreme Weather","Oak-Mixed Hardwood - 'Xeric'","27.5 ~ 52.5 cm",72.6745294510142,3.15758976204506
"119","Shelterwood Regeneration Cut","Extreme Weather","Oak-Mixed Hardwood - 'Xeric'","< 12.5 cm",16.3740760642681,9.11314845630286
"120","Shelterwood Regeneration Cut","Extreme Weather","Oak-Mixed Hardwood - 'Xeric'","> 52.5 cm",19.9858973069853,NA
"121","Shelterwood Regeneration Cut","Extreme Weather","Northern Hardwood - 'Mesic'","12.5 ~ 27.5 cm",32.5528715755771,2.22833028878122
"122","Shelterwood Regeneration Cut","Extreme Weather","Northern Hardwood - 'Mesic'","27.5 ~ 52.5 cm",76.8842264677143,0
"123","Shelterwood Regeneration Cut","Extreme Weather","Northern Hardwood - 'Mesic'","< 12.5 cm",21.770910225479,14.7254766482894
"124","Shelterwood Regeneration Cut","Extreme Weather","Northern Hardwood - 'Mesic'","> 52.5 cm",19.0967641549625,NA
"125","Shelterwood Regeneration Cut","Extreme Weather","Northern Hardwood - 'Xeric'","12.5 ~ 27.5 cm",40.3688804057717,101.242234928368
"126","Shelterwood Regeneration Cut","Extreme Weather","Northern Hardwood - 'Xeric'","27.5 ~ 52.5 cm",77.8318501004084,1.55531027382304
"127","Shelterwood Regeneration Cut","Extreme Weather","Northern Hardwood - 'Xeric'","< 12.5 cm",21.6243959022244,7.85334113355279
"128","Shelterwood Regeneration Cut","Extreme Weather","Northern Hardwood - 'Xeric'","> 52.5 cm",17.2738264667447,NA
"129","Shelterwood Regeneration Cut","Extreme Weather & Pests & Diseases","Oak-Mixed Hardwood - 'Mesic'","12.5 ~ 27.5 cm",27.3732172861385,0.349910517393188
"130","Shelterwood Regeneration Cut","Extreme Weather & Pests & Diseases","Oak-Mixed Hardwood - 'Mesic'","27.5 ~ 52.5 cm",77.1411046495411,NA
"131","Shelterwood Regeneration Cut","Extreme Weather & Pests & Diseases","Oak-Mixed Hardwood - 'Mesic'","< 12.5 cm",11.5484064496081,15.8873808375619
"132","Shelterwood Regeneration Cut","Extreme Weather & Pests & Diseases","Oak-Mixed Hardwood - 'Mesic'","> 52.5 cm",31.7605867519842,NA
"133","Shelterwood Regeneration Cut","Extreme Weather & Pests & Diseases","Oak-Mixed Hardwood - 'Xeric'","12.5 ~ 27.5 cm",34.3135931045564,21.8161612631582
"134","Shelterwood Regeneration Cut","Extreme Weather & Pests & Diseases","Oak-Mixed Hardwood - 'Xeric'","27.5 ~ 52.5 cm",72.6745294510142,0.45413375296466
"135","Shelterwood Regeneration Cut","Extreme Weather & Pests & Diseases","Oak-Mixed Hardwood - 'Xeric'","< 12.5 cm",16.3740760642681,10.5716968023683
"136","Shelterwood Regeneration Cut","Extreme Weather & Pests & Diseases","Oak-Mixed Hardwood - 'Xeric'","> 52.5 cm",19.9858973069853,NA
"137","Shelterwood Regeneration Cut","Extreme Weather & Pests & Diseases","Northern Hardwood - 'Mesic'","12.5 ~ 27.5 cm",32.5528715755771,2.16312388390943
"138","Shelterwood Regeneration Cut","Extreme Weather & Pests & Diseases","Northern Hardwood - 'Mesic'","27.5 ~ 52.5 cm",76.8842264677143,0
"139","Shelterwood Regeneration Cut","Extreme Weather & Pests & Diseases","Northern Hardwood - 'Mesic'","< 12.5 cm",21.770910225479,13.0983525465273
"140","Shelterwood Regeneration Cut","Extreme Weather & Pests & Diseases","Northern Hardwood - 'Mesic'","> 52.5 cm",19.0967641549625,NA
"141","Shelterwood Regeneration Cut","Extreme Weather & Pests & Diseases","Northern Hardwood - 'Xeric'","12.5 ~ 27.5 cm",40.3688804057717,14.0501849960066
"142","Shelterwood Regeneration Cut","Extreme Weather & Pests & Diseases","Northern Hardwood - 'Xeric'","27.5 ~ 52.5 cm",77.8318501004084,1.59435465120962
"143","Shelterwood Regeneration Cut","Extreme Weather & Pests & Diseases","Northern Hardwood - 'Xeric'","< 12.5 cm",21.6243959022244,9.00509935230789
"144","Shelterwood Regeneration Cut","Extreme Weather & Pests & Diseases","Northern Hardwood - 'Xeric'","> 52.5 cm",17.2738264667447,NA
